ID,Firstname,Lastname,Picture,Photographer,Gender,Birthdate,CurrentParty,City,Zipcode,Facebook,Homepage,Instagram,Twitter,Profession,Education,LeisureInterest,PoliticsInterest,Slug
53,Lartey,Lawson,53-lartey-lawson-a-9.jpg,En fotograf fra Velliv pension forening,M,1956-06-25T00:00:00,Radikale Venstre,København Ø,2100,https://www.facebook.com/profile.php?id=100073335404707,larteylawson.com,,,Offentligt ansat,Ph.d.-uddannelse,"Jeg er bosat på Østerbro sammen med min familie, drives jeg af et ønske om at skabe positiv forandring i vores samfund og verden. Min akademiske og professionelle baggrund stammer fra en ph.d. i landbrugsøkonomi og en karriere hos Danmarks Statistik, hvor jeg har specialiseret mig i erhvervsdata. ","Jeg har et dybt engagement i økonomi, miljømæssig bæredygtighed og Afrika. Med en ph.d. i landbrugsøkonomi og en karriere hos Danmarks Statistik kan jeg træffe informerede beslutninger. Min rejse er drevet af en overbevisning om, at økonomisk vækst og miljøbeskyttelse kan gå hånd i hånd. Jeg er dedikeret til at fremme en grønnere fremtid og styrkede forbindelserne mellem EU og Afrika. ",53-lartey-lawson
23,Niels,Plum,23-niels-bjarne-plum-a-946.png,Venstre.dk,M,1957-08-02T00:00:00,"Venstre, Danmarks Liberale Parti",Nexø,3730,https://www.facebook.com/niels.plum.9,https://venstrebornholm.dk/ep-valg-2024.html,,,Udenfor arbejdsmarkedet,Erhvervsuddannelse,"Handels eksamen.
Selvstændig i 40 år",Fordi jeg mener det er vigtigt at have indflydelse på hvad der sker omkring mig.,23-niels-bjarne-plum
157,Michael,Nedersøe,157-michael-nedersoee-a-33.jpeg,Michael Nedersøe,M,1978-10-12T00:00:00,Dansk Folkeparti,Horsens,8700,https://www.facebook.com/michaelnedersoeDF/?locale=da_DK,,,,Byråds- eller regionsrådsmedlem,Grundskole,,,157-michael-nedersoee
102,Valentina,Crast,102-valentina-crast-a-301.jpg,,F,1980-02-17T00:00:00,Alternativet,Lille Skensved,4623,https://www.facebook.com/ValentinaCrast,,,,Privat ansat/selvstændig,Bachelor-/diplomuddannelse,"2020 -Aktuelt: Kampagnechef for Sea Shepherd
2016- 2019: Afdelingsleder i ældreplejen
2010 - 2016 sygeplejerske 

Frivilligt arbejde:
2012- 2017: Frivillig i Sea Shepherd
2013- aktuelt: Kampagnemedarbejder og bestyrelsesarbejde for dyreværnsorganisationen OASA","Jeg har igennem de sidste 12 år arbejdet for dyr og miljø i NGO regi, og det er åbenlyst for mig at borgernes ambitioner på området overstiger politikernes. Lovgivningsarbejdet er essentielt for at lykkes med at skabe et ordentligt samfund for alle, mennesker såvel som dyr. Jeg vil bidrage til at vores love i langt højere grad passer på individer frem for virksomheder og økonomiske interesser",102-valentina-crast
165,Søren Lund,Hansen,165-soeren-lund-hansen-a-833.gif,Evan Fotograf,M,1974-04-29T00:00:00,Dansk Folkeparti,Dalmose,4261,https://www.facebook.com/DFSorenLund/,,,,Privat ansat/selvstændig,Ikke oplyst,,,165-soeren-lund-hansen
67,Reinout,Bosch,67-reinout-bosch-a-486.jpg,,M,1990-04-19T00:00:00,Enhedslisten – De Rød-Grønne,KBH V,1705,https://www.facebook.com/reinout.bosch,reinoutbosch.dk,,,Offentligt ansat,Kandidat-/masteruddannelse,Jeg er gadeplansarbejder for socialforvaltningen i København med arbejdsområde i den københavnske bydel Tingbjerg. Jeg er organisationssekretær i mediehuset Solidaritet og formand for Institut for Marxistisk Analyse. Forfatter til Historisk materialisme under postmodernismens hegemoni (2020) og Kritik af Nordisk socialisme (2022 med Christian Gorm Hansen).,"Jeg stiller op for at tage kampen for en social retfærdig verden der hvor der bestemmes. At politik udformes i EU betyder at det kommer meget langt væk fra vores almindelige hverdag. Til gengæld kommer den tæt på virksomhedernes indflydelse. Det er beklageligt, men et faktum vi må tage udgangspunkt i når vi ønsker at forandre verden.",67-reinout-bosch
38,Nicklas,Verne,38-nicklas-verne-a-570.png,,M,2000-05-13T00:00:00,Det Konservative Folkeparti,,,,,,,Ikke oplyst,Ikke oplyst,,,38-nicklas-verne
70,Selma,Bolø,70-selma-boloe-a-144.png,Lizette Kabré,F,1998-05-17T00:00:00,Enhedslisten – De Rød-Grønne,,,https://www.facebook.com/profile.php?id=100086750147260,https://www.rgungdom.dk/selma,https://www.instagram.com/selmaboloe/,https://twitter.com/selmaboloe,Leder,Bachelor-/diplomuddannelse,,"Jeg stiller op for at kæmpe for, at EU får rød-grønne stemmer med i det kommende Parlament. Vi skal skabe ambitiøs klimahandling, der skaber grønne jobs, gøre op med social dumping på tværs af EU og passe godt på de flygninge, der kommer til. Og så er det vigtigt med unge stemmer i det kommende EU- det er os, der skal tage over, så det giver kun mening, at vi også har indflydelse på lovgivningen",70-selma-boloe
104,Johannes,Slyngborg,104-johannes-slyngborg-a-828.jpg,,M,2001-02-01T00:00:00,Alternativet,Odense,5000,,https://www.twitch.tv/hanogreen,https://www.instagram.com/JohannesDoesPolitics,,Studerende,Gymnasial uddannelse,,"Personligt stiller jeg op, fordi der mangler flere unge inde i Europa parlamentet. Hvis vi skal have et repræsentativt demokrati, skal der være større indflydelse fra os unge. Jeg stiller også op, fordi jeg tror på, at nogle af verdens største problemer ikke kan blive løst alene, men at det skal blive løses sammen. Derfor tror jeg på et tættere europæisk samarbejde. ",104-johannes-slyngborg
78,Villy,Søvndal,78-villy-soevndal-a-448.jpg,Kolding Kommune,M,1952-04-04T00:00:00,SF - Socialistisk Folkeparti,Kolding,6000,https://www.facebook.com/villysoevndal/,https://sf.dk/politiker/villy-soevndal/,https://www.instagram.com/sovndalvilly/,,Byråds- eller regionsrådsmedlem,Seminaruddannelse,"Uddannet lærer og undervist i folkeskolen i 14 år.
Byrådsmedlem i Kolding Kommune fra 1982 til 1994 samt fra 2022 til nu.
Folketingsmedlem fra 1994 til 2013.
Formand for SF fra 2005 til 2012.
Udenrigsminister for Danmark fra 2011 til 2013.
Regionsrådsmedlem i Region Syddanmark fra 2017 til 2021.","Jeg synes, at alle store udfordringer mødes i Europa-Parlamentet, som er det forum, der har tilstrækkelig styrke til at gøre noget ved udfordringer, inden for klima, miljø og natur, den sikkerhedspolitiske krise efter Ruslands brutale overfald på Ukraine, rettigheder for vandrende arbejdstagere samt beskyttelse af vores velfærdssamfund. Jeg kan bidrage med meget erfaring og et bredt netværk.",78-villy-soevndal
