Id,Title,Question,Info,ArgumentFor,ArgumentAgainst,OptionalTitle,OptionalQuestion,OptionalInfo,OptionalArgumentFor,OptionalArgumentAgainst,ID_CandidateQuestionType,QuestionListData,IsTopicQuestionType
608,Generelt,Det er en fordel for Danmark at være med i EU,,"EU har styrket dansk økonomi med adgangen til det indre marked samt arbejdskraftens frie bevægelighed. Selvom Danmark afgiver suverænitet til EU, så giver EU flere fordele end ulemper.",EU har for stor indflydelse på dansk lovgivning. EU-samarbejdet har udviklet sig for meget fra et økonomisk samarbejde til i dag også at omhandle eksempelvis forbruger- og miljøpolitik samt arbejdsmarkedspolitik. ,,,,,,1,,False
609,Indre marked,Danmark bør indføre permanent grænsekontrol og dermed træde ud af Schengen-samarbejdet,,"Danmark skal selv kunne bestemme over sine egne grænser. Danmark bør udtræde af Schengen-samarbejdet og indføre permanent grænsekontrol, så de nationale myndigheder kan styre, hvem der kommer ind i landet.","Schengen-samarbejdet sikrer, at EU-borgere kan bevæge sig frit mellem EU’s medlemslande. Permanent grænsekontrol er dyrt, tidskrævende og ineffektivt. Permanent grænsekontrol vil indebære, at alle skal have tjekket pas ved grænsen, og det kan øge ventetiden ved indrejse.",,,,,,1,,True
612,Økonomi,"Samfundsnødvendige produkter som medicin og teknologi skal produceres i EU, også selvom de kan fås billigere andre steder i verden",,"EU har gjort sig alt for sårbar over for udenlandsk indflydelse ved at gøre sig afhængig af import af kritisk nødvendige produkter fra for eksempel Kina, Indien og tidligere også Rusland. ","Det er urealistisk og økonomisk uholdbart at forestille sig, at Europa skulle kunne blive selvforsynende med alt det, vi i øjeblikket importerer. Desuden risikerer EU at underminere den globale frihandel, som vi selv nyder godt af.",,,,,,1,,True
613,Udvidelse,"Ukraine skal tilbydes medlemskab af EU, når de lever op til de formelle betingelser om blandt andet demokrati og retsstat",,"Det er et vigtigt signal at sende til et land, der lige nu kæmper for EU's demokratiske værdier, at de også kan blive medlem af EU-samarbejdet. Det er ikke i Europas interesse, at Ukraine igen kommer under russisk indflydelse. Derfor er EU nødt til at åbne døren for ukrainerne.","Ukraine er med sine 44 millioner indbyggere og sin enorme landmasse en alt for stor mundfuld for EU at sluge. Landet er større end Frankrig og fattigere end Albanien, og der er store problemer med korruption, samtidig med, at det er et land i krig. Derfor skal Ukraine ikke med i EU.",,,,,,1,,True
614,Udenrigs- og sikkerhedspolitik,"Et enkelt land skal ikke længere have veto-ret til at forhindre, at EU vedtager nye sanktioner mod andre lande",,"Det er urimeligt, at et enkelt medlemsland skal kunne forhindre alle de andre i at vedtage sanktioner, sådan som reglerne er i dag. Det gør EU's fælles udenrigs- og sikkerhedspolitik svag og utroværdig.","Det er vigtigt, at alle lande kan bakke op om sanktioner. Enstemmighed forhindrer, at der indføres sanktioner, som risikerer at ramme enkelte EU-medlemslande urimeligt hårdt. Det er skadeligt for sammenholdet i EU-kredsen, hvis ikke alle lande kan stå på mål for sanktionerne.",,,,,,1,,True
615,Landbrug & Miljø,EU’s landbrugsstøtte skal afskaffes,,"Landbrugsstøtten er forældet og skadelig for den frie konkurrence. Samtidig driver den jordpriserne op og fastholder folk i erhvervet, som ellers burde omskoles. Landbrugsstøtten holder gang i produktionsmetoder, der skader den vilde natur og biodiversiteten. Den er også skadelig for udviklingslandene.","Det er vigtigt, at EU bevarer et fokus på fødevaresikkerhed og sikrer, at der aldrig opstår mangel på fødevarer i Europa. Støtten er også med til at afbøde problemer med affolkning i landområder og er med til at sikre en europæisk madtradition, der bygger på kvalitet og mangfoldighed.",,,,,,1,,False
616,Grøn omstilling,EU bør fremme brugen af atomkraft som en bæredygtig energikilde,,"Atomkraft er i sig selv en CO2-neutral energikilde. Det er urealistisk at gennemføre overgangen til et mere klimavenligt energisystem uden atomkraft. EU har for nylig godkendt, at moderne atomkraft kan klassificeres som en bæredygtig investering. Derfor bør atomkraft fremover betragtes som grøn energi.","Selv om atomkraft i sig selv er CO2-neutralt, så er der betydelige miljøfarer knyttet til denne energikilde. Det gælder både for det højradioaktive affald og risikoen for ulykker, der potentielt kan have katastrofale konsekvenser. Derfor kan man ikke betragte atomkraft som en bæredygtig energikilde. Det er også meget dyrt og tager meget lang tid at bygge nye atomkraftanlæg.",,,,,,1,,True
617,Grøn omstilling,EU skal give mere økonomisk støtte til at udbygge togtrafikken på tværs af Europa,,"Togtransport er en klimavenlig transportform, som både kan mindske antallet af biler og lastbiler på vejene og antallet af flyrejsende.",Det er en national opgave at stå for transport og infrastruktur. Danmark skal ikke betale penge til EU's budget for at finansiere udbygning af jernbanenettet i andre lande.,,,,,,1,,False
618,Grøn omstilling,"EU skal nedjustere de grønne ambitioner, så erhvervslivet får længere tid til at omstille sig til EU's grønne krav",,"Hvis EU stiller for store klima- og miljøkrav til europæisk erhvervsliv, risikerer man at kvæle europæisk industri eller sende produktionen ud af Europa. Det vil skade EU's økonomi og betyde stort tab af arbejdspladser. Samtidig vil det formentlig kun placere miljøproblemerne andre steder på kloden.","Udfordringer med klimaforandringerne og for den europæiske natur er så store, at der skal handles hurtigt, ellers bliver problemerne bare endnu større. Europa er også nødt til at gå i front på globalt plan for troværdigt at kunne presse på for at få resten af verden med på vognen. Grønne krav er med til at modernisere europæisk industri og gøre den mere konkurrencedygtig.",,,,,,1,,True
620,Migration,"EU's økonomiske støtte til afrikanske lande skal gøres afhængig af, at de medvirker til at bremse migration til Europa",,Det er en prioritet at få afrikanske lande engageret i at stoppe illegal migration til Europa. Derfor skal EU-støtten bruges som incitament.,"Udviklingsbistand skal ikke være hængt op på migration. Det handler om at løfte levestandarden i verdens fattigste lande. Mindskes fattigdommen, så vil det også mindske migrationen. ",,,,,,1,,True
621,Udenrigs- og sikkerhedspolitik,Danmark skal stille soldater til rådighed til en kommende europæisk indsatsstyrke på 5.000 mand,,"Det er vigtigt, at EU-landene kan rykke hurtigt ud til verdens brændpunkter, hvis det er nødvendigt. Derfor skal Danmark bidrage til den kommende indsatsstyrke.","Hvis Danmark skal deltage i internationale styrker, så skal det være indenfor enten FN, forsvarsalliancen NATO eller en koalition af villige lande, som vil sende soldater til konfliktzoner. EU risikerer at gå Nato i bedene med sin nye indsatsstyrke.",,,,,,1,,False
